antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Oxford Cloth', 'Denim'})",frozenset({'Cropped'}),0.038267875125881166,0.12487411883182276,0.010070493454179255,0.2631578947368421,2.1073853989813243,0.005291826268268616,1.1876708387282404,0.5463874345549738
frozenset({'Cropped'}),"frozenset({'Oxford Cloth', 'Denim'})",0.12487411883182276,0.038267875125881166,0.010070493454179255,0.08064516129032258,2.1073853989813243,0.005291826268268616,1.0460945919683398,0.6004602991944765
frozenset({'Oxford Cloth'}),"frozenset({'Cropped', 'Denim'})",0.13695871097683787,0.038267875125881166,0.010070493454179255,0.07352941176470588,1.9214396284829722,0.004829374605115973,1.0380600712926997,0.555659276546091
"frozenset({'Cropped', 'Denim'})",frozenset({'Oxford Cloth'}),0.038267875125881166,0.13695871097683787,0.010070493454179255,0.2631578947368421,1.921439628482972,0.004829374605115973,1.1712703208171484,0.4986387434554974
"frozenset({'Oxford Cloth', 'Cropped'})",frozenset({'Denim'}),0.022155085599194362,0.23867069486404835,0.010070493454179255,0.45454545454545453,1.9044879171461448,0.004782723779447065,1.3957703927492449,0.485684860968074
frozenset({'Denim'}),"frozenset({'Oxford Cloth', 'Cropped'})",0.23867069486404835,0.022155085599194362,0.010070493454179255,0.04219409282700422,1.9044879171461448,0.004782723779447065,1.0209217828766122,0.6238095238095237
frozenset({'Mandarin Collar'}),frozenset({'Cords'}),0.11681772406847936,0.11983887210473314,0.025176233635448138,0.21551724137931036,1.798391770501304,0.011176929341239634,1.1219636355588019,0.5026681870011402
frozenset({'Cords'}),frozenset({'Mandarin Collar'}),0.11983887210473314,0.11681772406847936,0.025176233635448138,0.21008403361344538,1.798391770501304,0.011176929341239634,1.1180711791047975,0.5043935926773455
frozenset({'Wool'}),frozenset({'Puffer'}),0.11883182275931521,0.1309164149043303,0.025176233635448138,0.211864406779661,1.6183181225554106,0.009619197423251786,1.1027082047450434,0.43360000000000004
frozenset({'Puffer'}),frozenset({'Wool'}),0.1309164149043303,0.11883182275931521,0.025176233635448138,0.19230769230769232,1.6183181225554106,0.009619197423251786,1.0909701242027525,0.43962920046349935
frozenset({'Linen'}),frozenset({'Bomber'}),0.12185297079556898,0.14501510574018128,0.028197381671701913,0.23140495867768596,1.5957300275482094,0.010526860227027257,1.1123997011337425,0.42513106159895153
frozenset({'Bomber'}),frozenset({'Linen'}),0.14501510574018128,0.12185297079556898,0.028197381671701913,0.19444444444444442,1.5957300275482091,0.010526860227027257,1.0901135534951556,0.43664815749621405
frozenset({'High-Waisted'}),frozenset({'Tracksuit Bottoms'}),0.1309164149043303,0.1228600201409869,0.025176233635448138,0.19230769230769232,1.5652585119798237,0.009091840263516317,1.0859828322063971,0.41552723059096175
frozenset({'Tracksuit Bottoms'}),frozenset({'High-Waisted'}),0.1228600201409869,0.1309164149043303,0.025176233635448138,0.20491803278688525,1.5652585119798235,0.009091840263516317,1.0930741998110485,0.4117106773823192
frozenset({'Chinos'}),frozenset({'Cargo Pants'}),0.12386706948640483,0.12890231621349446,0.02416918429003021,0.1951219512195122,1.513719512195122,0.008202432130654764,1.0822728798559613,0.3873563218390804
frozenset({'Cargo Pants'}),frozenset({'Chinos'}),0.12890231621349446,0.12386706948640483,0.02416918429003021,0.1875,1.513719512195122,0.008202432130654764,1.0783174529398094,0.3895953757225433
frozenset({'Casual Slim Fit'}),frozenset({'Windbreaker'}),0.14803625377643503,0.1339375629405841,0.02920443101711984,0.19727891156462588,1.4729169863434097,0.009376815959450294,1.078908290235035,0.37686475910980693
frozenset({'Windbreaker'}),frozenset({'Casual Slim Fit'}),0.1339375629405841,0.14803625377643503,0.02920443101711984,0.21804511278195488,1.4729169863434095,0.009376815959450294,1.0895305600743668,0.3707297514033682
frozenset({'Leather'}),frozenset({'Pullover'}),0.12185297079556898,0.13494461228600202,0.02416918429003021,0.19834710743801653,1.4698408782533612,0.0077257823901246275,1.0790897104473582,0.3640099388379205
